name_s,lats_s,lngs_s,vicinity_s,id_s
"RJ Timber Products",17.36837910000000,78.55757870000000,"4, Sai Nagar Colony Road, Adarsh Nagar Colony, Nagole, Hyderabad",ChIJnxJc086YyzsR9hF143OK1Uc
"Reliance Fresh",17.37664520000000,78.55929060000000,"Creative Sneha palace Plot No 73p,74&75 Nagole Village Survey Nos 141,142,143,&144, Mamatha Nagar Colony, Hyderabad",ChIJOTBxodGYyzsR9Deg_IXLGDg
"Microsoft Device Care",17.37214100000000,78.51071300000000,"Shop No. 16-11-19/11,, Saleem Nagar, Malakpet, Hyderabad",ChIJoWP0-k6YyzsRdx_rYNmA2Ak
"Reliance Digital",17.37380200000000,78.50255550000000,"Maram Satish Central, 16, 10-27/105/1 to 7 & 106/1, Main Road, Municipal Colony, Malakpet, Hyderabad",ChIJoWP0-k6YyzsRzqoF4a3gGhY
"Sky Lanterns",17.36505200000000,78.52617900000001,"land mark ace academy 13, 9-94, shanthi nagar, Hyderabad",ChIJpwLiLvaYyzsR8PiSnAyod-8
"Green Honda",17.36646940000000,78.55660329999999,"#2-4-135 Opp IBP Petrol Pump, Snehapuri Colony, Nagole, Hyderabad",ChIJQ7c9gbCYyzsRQbcLc2t8dfw
"Exide Nagole",17.37734900000000,78.55807100000000,"Plot No 66, Nagole X roads, Hyderabad",ChIJqaBRBNGYyzsRnQNx2HLEu4A
"More Supermarket",17.32492130000000,78.52698099999999,"Janatha Commercial Complex,main Road, Meerpet, Hyderabad",ChIJqfHTr2SiyzsRUcYayQHig5Y
Funtoosh,17.37456260000000,78.49900690000000,"National Highway 65, Anand Nagar, Judges Colony, Malakpet, Hyderabad",ChIJQWxWwUmYyzsRJWCtTRnJ4YM
"More Super Market",17.31947340000000,78.51931390000000,"Midhani Quarters, Dhatu Nagar, Kanchan Bagh, Hyderabad",ChIJQXSOi4miyzsRyFvcdDnl0Wo
"Broadway Cars",17.41676900000000,78.54465200000000,"7-102-15, Habsiguda Main Road, Sai Enclave Colony, Habsiguda, Hyderabad",ChIJr7gZnUKZyzsRMEFOUE1dm_Y
"Vodafone Store",17.36963350000000,78.51729290000000,"16-11-762/1 to 15, Rinda Plaza, Beside Food World, Dilsukh Nagar Main Road, Moosarambagh, Dilsukh Nagar, Hyderabad",ChIJRbERsVmYyzsRB1t2otVZWOc
shanthi,17.38467500000000,78.48869900000000,"h.No:1-7-62/1,Chathanyapuri,Dilsukhnagar,Hyderabad, Hyderabad",ChIJTSaCqM2ZyzsRXWqUYzRd0_c
"Apollo Pharmacy",17.45064170000000,78.68043580000000,"Door No 7/168/9, Shop No 1 Main Road, Ghatkesar, Dist, Hyderabad",ChIJtU8gpnJ2yzsR5TRHYRjGspQ
"V World Internet",17.32262700000000,78.56533300000000,"Opposite Ranga Reddy Co-Operative Bank, Self Finance Colony, BN Reddy Road, NGO Colony, Vanasthalipuram, Hyderabad",ChIJU0L87x2iyzsRPSg7c0WLyTQ
"Madarwala Enterprise",17.43539500000000,78.48891300000000,"Mittal Chambers, Mahatma Gandhi Road, Pan Bazar, Old Gudi, Old Bhoiguda, Rani Gunj, Secunderabad",ChIJuUFL_w2ayzsRn5SKl2f5Qf4
"Malabar Gold & Diamonds",17.36809200000000,78.53020389999999,"BUILDING NO-17-108, MAIN ROAD CHAITANYAPURI, Kamala Nagar, Dilsukhnagar, Hyderabad",ChIJUz7DvfGYyzsRUm_OK9fZ8XI
"Apple Gifts Gallery",17.31638999999999,78.52102500000000,"# 9-119, Krishna Reddy Complex, Balapur X Roads, Deendayal Nagar, Balapur, Hyderabad",ChIJV3qhLGCiyzsRVF6ospTR5-k
